sample	cell	drug	dose	time	tissue
UACC-62_erlotinib_10000nM_24h	UACC-62	erlotinib	10000nM	24h	Melanoma
UO-31_erlotinib_10000nM_24h	UO-31	erlotinib	10000nM	24h	Renal
786-0_geldanamycin_1000nM_24h	786-0	geldanamycin	1000nM	24h	Renal
A549_geldanamycin_1000nM_24h	A549	geldanamycin	1000nM	24h	Lung
ACHN_geldanamycin_1000nM_24h	ACHN	geldanamycin	1000nM	24h	Renal
BT-549_geldanamycin_1000nM_24h	BT-549	geldanamycin	1000nM	24h	Breast
CAKI-1_geldanamycin_1000nM_24h	CAKI-1	geldanamycin	1000nM	24h	Renal
COLO-205_geldanamycin_1000nM_24h	COLO-205	geldanamycin	1000nM	24h	Colon
DU-145_geldanamycin_1000nM_24h	DU-145	geldanamycin	1000nM	24h	Prostate
EKVX_geldanamycin_1000nM_24h	EKVX	geldanamycin	1000nM	24h	Lung
HCC-2998_geldanamycin_1000nM_24h	HCC-2998	geldanamycin	1000nM	24h	Colon
HCT-116_geldanamycin_1000nM_24h	HCT-116	geldanamycin	1000nM	24h	Colon
HCT-15_geldanamycin_1000nM_24h	HCT-15	geldanamycin	1000nM	24h	Colon
HL-60_geldanamycin_1000nM_24h	HL-60	geldanamycin	1000nM	24h	Leukemia
HOP-62_geldanamycin_1000nM_24h	HOP-62	geldanamycin	1000nM	24h	Lung
HOP-92_geldanamycin_1000nM_24h	HOP-92	geldanamycin	1000nM	24h	Lung
HS-578T_geldanamycin_1000nM_24h	HS-578T	geldanamycin	1000nM	24h	Breast
HT29_geldanamycin_1000nM_24h	HT29	geldanamycin	1000nM	24h	Colon
IGR-OV1_geldanamycin_1000nM_24h	IGR-OV1	geldanamycin	1000nM	24h	Ovarian
K-562_geldanamycin_1000nM_24h	K-562	geldanamycin	1000nM	24h	Leukemia
KM12_geldanamycin_1000nM_24h	KM12	geldanamycin	1000nM	24h	Colon
LOX_geldanamycin_1000nM_24h	LOX	geldanamycin	1000nM	24h	Melanoma
M14_geldanamycin_1000nM_24h	M14	geldanamycin	1000nM	24h	Melanoma
MALME-3M_geldanamycin_1000nM_24h	MALME-3M	geldanamycin	1000nM	24h	Melanoma
MCF7_geldanamycin_1000nM_24h	MCF7	geldanamycin	1000nM	24h	Breast
MDA-MB-231_geldanamycin_1000nM_24h	MDA-MB-231	geldanamycin	1000nM	24h	Breast
MDA-MB-435_geldanamycin_1000nM_24h	MDA-MB-435	geldanamycin	1000nM	24h	Melanoma
MDA-MB-468_geldanamycin_1000nM_24h	MDA-MB-468	geldanamycin	1000nM	24h	Breast
NCI-ADR-RES_geldanamycin_1000nM_24h	NCI-ADR-RES	geldanamycin	1000nM	24h	Ovarian
NCI-H226_geldanamycin_1000nM_24h	NCI-H226	geldanamycin	1000nM	24h	Lung
NCI-H23_geldanamycin_1000nM_24h	NCI-H23	geldanamycin	1000nM	24h	Lung
NCI-H322M_geldanamycin_1000nM_24h	NCI-H322M	geldanamycin	1000nM	24h	Lung
NCI-H460_geldanamycin_1000nM_24h	NCI-H460	geldanamycin	1000nM	24h	Lung
NCI-H522_geldanamycin_1000nM_24h	NCI-H522	geldanamycin	1000nM	24h	Lung
OVCAR-3_geldanamycin_1000nM_24h	OVCAR-3	geldanamycin	1000nM	24h	Ovarian
OVCAR-4_geldanamycin_1000nM_24h	OVCAR-4	geldanamycin	1000nM	24h	Ovarian
OVCAR-5_geldanamycin_1000nM_24h	OVCAR-5	geldanamycin	1000nM	24h	Ovarian
OVCAR-8_geldanamycin_1000nM_24h	OVCAR-8	geldanamycin	1000nM	24h	Ovarian
PC-3_geldanamycin_1000nM_24h	PC-3	geldanamycin	1000nM	24h	Prostate
RPMI-8226_geldanamycin_1000nM_24h	RPMI-8226	geldanamycin	1000nM	24h	Leukemia
RXF-393_geldanamycin_1000nM_24h	RXF-393	geldanamycin	1000nM	24h	Renal
SF-268_geldanamycin_1000nM_24h	SF-268	geldanamycin	1000nM	24h	CNS
SF-295_geldanamycin_1000nM_24h	SF-295	geldanamycin	1000nM	24h	CNS
SF-539_geldanamycin_1000nM_24h	SF-539	geldanamycin	1000nM	24h	CNS
SK-MEL-2_geldanamycin_1000nM_24h	SK-MEL-2	geldanamycin	1000nM	24h	Melanoma
SK-MEL-28_geldanamycin_1000nM_24h	SK-MEL-28	geldanamycin	1000nM	24h	Melanoma
SK-MEL-5_geldanamycin_1000nM_24h	SK-MEL-5	geldanamycin	1000nM	24h	Melanoma
SK-OV-3_geldanamycin_1000nM_24h	SK-OV-3	geldanamycin	1000nM	24h	Ovarian
SN12C_geldanamycin_1000nM_24h	SN12C	geldanamycin	1000nM	24h	Renal
SNB-19_geldanamycin_1000nM_24h	SNB-19	geldanamycin	1000nM	24h	CNS
SNB-75_geldanamycin_1000nM_24h	SNB-75	geldanamycin	1000nM	24h	CNS
SR_geldanamycin_1000nM_24h	SR	geldanamycin	1000nM	24h	Leukemia
SW-620_geldanamycin_1000nM_24h	SW-620	geldanamycin	1000nM	24h	Colon
T-47D_geldanamycin_1000nM_24h	T-47D	geldanamycin	1000nM	24h	Breast
TK-10_geldanamycin_1000nM_24h	TK-10	geldanamycin	1000nM	24h	Renal
U251_geldanamycin_1000nM_24h	U251	geldanamycin	1000nM	24h	CNS
UACC-257_geldanamycin_1000nM_24h	UACC-257	geldanamycin	1000nM	24h	Melanoma
UACC-62_geldanamycin_1000nM_24h	UACC-62	geldanamycin	1000nM	24h	Melanoma
UO-31_geldanamycin_1000nM_24h	UO-31	geldanamycin	1000nM	24h	Renal
786-0_gemcitibine_2000nM_24h	786-0	gemcitibine	2000nM	24h	Renal
A498_gemcitibine_2000nM_24h	A498	gemcitibine	2000nM	24h	Renal
A549_gemcitibine_2000nM_24h	A549	gemcitibine	2000nM	24h	Lung
BT-549_gemcitibine_2000nM_24h	BT-549	gemcitibine	2000nM	24h	Breast
CAKI-1_gemcitibine_2000nM_24h	CAKI-1	gemcitibine	2000nM	24h	Renal
CCRF-CEM_gemcitibine_2000nM_24h	CCRF-CEM	gemcitibine	2000nM	24h	Leukemia
COLO-205_gemcitibine_2000nM_24h	COLO-205	gemcitibine	2000nM	24h	Colon
DU-145_gemcitibine_2000nM_24h	DU-145	gemcitibine	2000nM	24h	Prostate
EKVX_gemcitibine_2000nM_24h	EKVX	gemcitibine	2000nM	24h	Lung
HCC-2998_gemcitibine_2000nM_24h	HCC-2998	gemcitibine	2000nM	24h	Colon
HCT-116_gemcitibine_2000nM_24h	HCT-116	gemcitibine	2000nM	24h	Colon
HCT-15_gemcitibine_2000nM_24h	HCT-15	gemcitibine	2000nM	24h	Colon
HL-60_gemcitibine_2000nM_24h	HL-60	gemcitibine	2000nM	24h	Leukemia
HOP-62_gemcitibine_2000nM_24h	HOP-62	gemcitibine	2000nM	24h	Lung
HOP-92_gemcitibine_2000nM_24h	HOP-92	gemcitibine	2000nM	24h	Lung
HS-578T_gemcitibine_2000nM_24h	HS-578T	gemcitibine	2000nM	24h	Breast
IGR-OV1_gemcitibine_2000nM_24h	IGR-OV1	gemcitibine	2000nM	24h	Ovarian
K-562_gemcitibine_2000nM_24h	K-562	gemcitibine	2000nM	24h	Leukemia
KM12_gemcitibine_2000nM_24h	KM12	gemcitibine	2000nM	24h	Colon
LOX_gemcitibine_2000nM_24h	LOX	gemcitibine	2000nM	24h	Melanoma
M14_gemcitibine_2000nM_24h	M14	gemcitibine	2000nM	24h	Melanoma
MALME-3M_gemcitibine_2000nM_24h	MALME-3M	gemcitibine	2000nM	24h	Melanoma
MCF7_gemcitibine_2000nM_24h	MCF7	gemcitibine	2000nM	24h	Breast
MDA-MB-231_gemcitibine_2000nM_24h	MDA-MB-231	gemcitibine	2000nM	24h	Breast
MDA-MB-435_gemcitibine_2000nM_24h	MDA-MB-435	gemcitibine	2000nM	24h	Melanoma
MDA-MB-468_gemcitibine_2000nM_24h	MDA-MB-468	gemcitibine	2000nM	24h	Breast
MOLT-4_gemcitibine_2000nM_24h	MOLT-4	gemcitibine	2000nM	24h	Leukemia
NCI-ADR-RES_gemcitibine_2000nM_24h	NCI-ADR-RES	gemcitibine	2000nM	24h	Ovarian
NCI-H226_gemcitibine_2000nM_24h	NCI-H226	gemcitibine	2000nM	24h	Lung
NCI-H23_gemcitibine_2000nM_24h	NCI-H23	gemcitibine	2000nM	24h	Lung
NCI-H322M_gemcitibine_2000nM_24h	NCI-H322M	gemcitibine	2000nM	24h	Lung
NCI-H460_gemcitibine_2000nM_24h	NCI-H460	gemcitibine	2000nM	24h	Lung
NCI-H522_gemcitibine_2000nM_24h	NCI-H522	gemcitibine	2000nM	24h	Lung
OVCAR-3_gemcitibine_2000nM_24h	OVCAR-3	gemcitibine	2000nM	24h	Ovarian
OVCAR-4_gemcitibine_2000nM_24h	OVCAR-4	gemcitibine	2000nM	24h	Ovarian
OVCAR-8_gemcitibine_2000nM_24h	OVCAR-8	gemcitibine	2000nM	24h	Ovarian
PC-3_gemcitibine_2000nM_24h	PC-3	gemcitibine	2000nM	24h	Prostate
RPMI-8226_gemcitibine_2000nM_24h	RPMI-8226	gemcitibine	2000nM	24h	Leukemia
RXF-393_gemcitibine_2000nM_24h	RXF-393	gemcitibine	2000nM	24h	Renal
SF-268_gemcitibine_2000nM_24h	SF-268	gemcitibine	2000nM	24h	CNS
SF-295_gemcitibine_2000nM_24h	SF-295	gemcitibine	2000nM	24h	CNS
SK-MEL-2_gemcitibine_2000nM_24h	SK-MEL-2	gemcitibine	2000nM	24h	Melanoma
SK-MEL-28_gemcitibine_2000nM_24h	SK-MEL-28	gemcitibine	2000nM	24h	Melanoma
SK-MEL-5_gemcitibine_2000nM_24h	SK-MEL-5	gemcitibine	2000nM	24h	Melanoma
SK-OV-3_gemcitibine_2000nM_24h	SK-OV-3	gemcitibine	2000nM	24h	Ovarian
SN12C_gemcitibine_2000nM_24h	SN12C	gemcitibine	2000nM	24h	Renal
SNB-19_gemcitibine_2000nM_24h	SNB-19	gemcitibine	2000nM	24h	CNS
SNB-75_gemcitibine_2000nM_24h	SNB-75	gemcitibine	2000nM	24h	CNS
SR_gemcitibine_2000nM_24h	SR	gemcitibine	2000nM	24h	Leukemia
SW-620_gemcitibine_2000nM_24h	SW-620	gemcitibine	2000nM	24h	Colon
T-47D_gemcitibine_2000nM_24h	T-47D	gemcitibine	2000nM	24h	Breast
TK-10_gemcitibine_2000nM_24h	TK-10	gemcitibine	2000nM	24h	Renal
U251_gemcitibine_2000nM_24h	U251	gemcitibine	2000nM	24h	CNS
UACC-257_gemcitibine_2000nM_24h	UACC-257	gemcitibine	2000nM	24h	Melanoma
UACC-62_gemcitibine_2000nM_24h	UACC-62	gemcitibine	2000nM	24h	Melanoma
UO-31_gemcitibine_2000nM_24h	UO-31	gemcitibine	2000nM	24h	Renal
786-0_lapatinib_10000nM_24h	786-0	lapatinib	10000nM	24h	Renal
A498_lapatinib_10000nM_24h	A498	lapatinib	10000nM	24h	Renal
A549_lapatinib_10000nM_24h	A549	lapatinib	10000nM	24h	Lung
ACHN_lapatinib_10000nM_24h	ACHN	lapatinib	10000nM	24h	Renal
BT-549_lapatinib_10000nM_24h	BT-549	lapatinib	10000nM	24h	Breast
CAKI-1_lapatinib_10000nM_24h	CAKI-1	lapatinib	10000nM	24h	Renal
COLO-205_lapatinib_10000nM_24h	COLO-205	lapatinib	10000nM	24h	Colon
DU-145_lapatinib_10000nM_24h	DU-145	lapatinib	10000nM	24h	Prostate
EKVX_lapatinib_10000nM_24h	EKVX	lapatinib	10000nM	24h	Lung
HCC-2998_lapatinib_10000nM_24h	HCC-2998	lapatinib	10000nM	24h	Colon
HCT-116_lapatinib_10000nM_24h	HCT-116	lapatinib	10000nM	24h	Colon
HCT-15_lapatinib_10000nM_24h	HCT-15	lapatinib	10000nM	24h	Colon
HOP-62_lapatinib_10000nM_24h	HOP-62	lapatinib	10000nM	24h	Lung
HOP-92_lapatinib_10000nM_24h	HOP-92	lapatinib	10000nM	24h	Lung
HS-578T_lapatinib_10000nM_24h	HS-578T	lapatinib	10000nM	24h	Breast
IGR-OV1_lapatinib_10000nM_24h	IGR-OV1	lapatinib	10000nM	24h	Ovarian
KM12_lapatinib_10000nM_24h	KM12	lapatinib	10000nM	24h	Colon
M14_lapatinib_10000nM_24h	M14	lapatinib	10000nM	24h	Melanoma
MALME-3M_lapatinib_10000nM_24h	MALME-3M	lapatinib	10000nM	24h	Melanoma
MCF7_lapatinib_10000nM_24h	MCF7	lapatinib	10000nM	24h	Breast
MDA-MB-231_lapatinib_10000nM_24h	MDA-MB-231	lapatinib	10000nM	24h	Breast
MDA-MB-435_lapatinib_10000nM_24h	MDA-MB-435	lapatinib	10000nM	24h	Melanoma
MDA-MB-468_lapatinib_10000nM_24h	MDA-MB-468	lapatinib	10000nM	24h	Breast
MOLT-4_lapatinib_10000nM_24h	MOLT-4	lapatinib	10000nM	24h	Leukemia
NCI-ADR-RES_lapatinib_10000nM_24h	NCI-ADR-RES	lapatinib	10000nM	24h	Ovarian
NCI-H226_lapatinib_10000nM_24h	NCI-H226	lapatinib	10000nM	24h	Lung
NCI-H23_lapatinib_10000nM_24h	NCI-H23	lapatinib	10000nM	24h	Lung
NCI-H322M_lapatinib_10000nM_24h	NCI-H322M	lapatinib	10000nM	24h	Lung
NCI-H460_lapatinib_10000nM_24h	NCI-H460	lapatinib	10000nM	24h	Lung
NCI-H522_lapatinib_10000nM_24h	NCI-H522	lapatinib	10000nM	24h	Lung
OVCAR-3_lapatinib_10000nM_24h	OVCAR-3	lapatinib	10000nM	24h	Ovarian
OVCAR-4_lapatinib_10000nM_24h	OVCAR-4	lapatinib	10000nM	24h	Ovarian
OVCAR-5_lapatinib_10000nM_24h	OVCAR-5	lapatinib	10000nM	24h	Ovarian
OVCAR-8_lapatinib_10000nM_24h	OVCAR-8	lapatinib	10000nM	24h	Ovarian
PC-3_lapatinib_10000nM_24h	PC-3	lapatinib	10000nM	24h	Prostate
RPMI-8226_lapatinib_10000nM_24h	RPMI-8226	lapatinib	10000nM	24h	Leukemia
RXF-393_lapatinib_10000nM_24h	RXF-393	lapatinib	10000nM	24h	Renal
SF-268_lapatinib_10000nM_24h	SF-268	lapatinib	10000nM	24h	CNS
SF-295_lapatinib_10000nM_24h	SF-295	lapatinib	10000nM	24h	CNS
SF-539_lapatinib_10000nM_24h	SF-539	lapatinib	10000nM	24h	CNS
SK-MEL-2_lapatinib_10000nM_24h	SK-MEL-2	lapatinib	10000nM	24h	Melanoma
SK-MEL-28_lapatinib_10000nM_24h	SK-MEL-28	lapatinib	10000nM	24h	Melanoma
SK-MEL-5_lapatinib_10000nM_24h	SK-MEL-5	lapatinib	10000nM	24h	Melanoma
SK-OV-3_lapatinib_10000nM_24h	SK-OV-3	lapatinib	10000nM	24h	Ovarian
SN12C_lapatinib_10000nM_24h	SN12C	lapatinib	10000nM	24h	Renal
SNB-19_lapatinib_10000nM_24h	SNB-19	lapatinib	10000nM	24h	CNS
SNB-75_lapatinib_10000nM_24h	SNB-75	lapatinib	10000nM	24h	CNS
SW-620_lapatinib_10000nM_24h	SW-620	lapatinib	10000nM	24h	Colon
T-47D_lapatinib_10000nM_24h	T-47D	lapatinib	10000nM	24h	Breast
TK-10_lapatinib_10000nM_24h	TK-10	lapatinib	10000nM	24h	Renal
U251_lapatinib_10000nM_24h	U251	lapatinib	10000nM	24h	CNS
UACC-257_lapatinib_10000nM_24h	UACC-257	lapatinib	10000nM	24h	Melanoma
UACC-62_lapatinib_10000nM_24h	UACC-62	lapatinib	10000nM	24h	Melanoma
UO-31_lapatinib_10000nM_24h	UO-31	lapatinib	10000nM	24h	Renal
786-0_paclitaxel_100nM_24h	786-0	paclitaxel	100nM	24h	Renal
A498_paclitaxel_100nM_24h	A498	paclitaxel	100nM	24h	Renal
A549_paclitaxel_100nM_24h	A549	paclitaxel	100nM	24h	Lung
ACHN_paclitaxel_100nM_24h	ACHN	paclitaxel	100nM	24h	Renal
BT-549_paclitaxel_100nM_24h	BT-549	paclitaxel	100nM	24h	Breast
CAKI-1_paclitaxel_100nM_24h	CAKI-1	paclitaxel	100nM	24h	Renal
CCRF-CEM_paclitaxel_100nM_24h	CCRF-CEM	paclitaxel	100nM	24h	Leukemia
COLO-205_paclitaxel_100nM_24h	COLO-205	paclitaxel	100nM	24h	Colon
DU-145_paclitaxel_100nM_24h	DU-145	paclitaxel	100nM	24h	Prostate
EKVX_paclitaxel_100nM_24h	EKVX	paclitaxel	100nM	24h	Lung
HCC-2998_paclitaxel_100nM_24h	HCC-2998	paclitaxel	100nM	24h	Colon
HCT-116_paclitaxel_100nM_24h	HCT-116	paclitaxel	100nM	24h	Colon
HCT-15_paclitaxel_100nM_24h	HCT-15	paclitaxel	100nM	24h	Colon
HOP-62_paclitaxel_100nM_24h	HOP-62	paclitaxel	100nM	24h	Lung
HOP-92_paclitaxel_100nM_24h	HOP-92	paclitaxel	100nM	24h	Lung
HS-578T_paclitaxel_100nM_24h	HS-578T	paclitaxel	100nM	24h	Breast
HT29_paclitaxel_100nM_24h	HT29	paclitaxel	100nM	24h	Colon
IGR-OV1_paclitaxel_100nM_24h	IGR-OV1	paclitaxel	100nM	24h	Ovarian
K-562_paclitaxel_100nM_24h	K-562	paclitaxel	100nM	24h	Leukemia
KM12_paclitaxel_100nM_24h	KM12	paclitaxel	100nM	24h	Colon
LOX_paclitaxel_100nM_24h	LOX	paclitaxel	100nM	24h	Melanoma
M14_paclitaxel_100nM_24h	M14	paclitaxel	100nM	24h	Melanoma
MALME-3M_paclitaxel_100nM_24h	MALME-3M	paclitaxel	100nM	24h	Melanoma
MCF7_paclitaxel_100nM_24h	MCF7	paclitaxel	100nM	24h	Breast
MDA-MB-231_paclitaxel_100nM_24h	MDA-MB-231	paclitaxel	100nM	24h	Breast
MDA-MB-435_paclitaxel_100nM_24h	MDA-MB-435	paclitaxel	100nM	24h	Melanoma
MDA-MB-468_paclitaxel_100nM_24h	MDA-MB-468	paclitaxel	100nM	24h	Breast
MOLT-4_paclitaxel_100nM_24h	MOLT-4	paclitaxel	100nM	24h	Leukemia
NCI-ADR-RES_paclitaxel_100nM_24h	NCI-ADR-RES	paclitaxel	100nM	24h	Ovarian
NCI-H226_paclitaxel_100nM_24h	NCI-H226	paclitaxel	100nM	24h	Lung
NCI-H23_paclitaxel_100nM_24h	NCI-H23	paclitaxel	100nM	24h	Lung
NCI-H322M_paclitaxel_100nM_24h	NCI-H322M	paclitaxel	100nM	24h	Lung
NCI-H460_paclitaxel_100nM_24h	NCI-H460	paclitaxel	100nM	24h	Lung
NCI-H522_paclitaxel_100nM_24h	NCI-H522	paclitaxel	100nM	24h	Lung
OVCAR-3_paclitaxel_100nM_24h	OVCAR-3	paclitaxel	100nM	24h	Ovarian
OVCAR-4_paclitaxel_100nM_24h	OVCAR-4	paclitaxel	100nM	24h	Ovarian
OVCAR-5_paclitaxel_100nM_24h	OVCAR-5	paclitaxel	100nM	24h	Ovarian
OVCAR-8_paclitaxel_100nM_24h	OVCAR-8	paclitaxel	100nM	24h	Ovarian
PC-3_paclitaxel_100nM_24h	PC-3	paclitaxel	100nM	24h	Prostate
RPMI-8226_paclitaxel_100nM_24h	RPMI-8226	paclitaxel	100nM	24h	Leukemia
RXF-393_paclitaxel_100nM_24h	RXF-393	paclitaxel	100nM	24h	Renal
SF-268_paclitaxel_100nM_24h	SF-268	paclitaxel	100nM	24h	CNS
SF-295_paclitaxel_100nM_24h	SF-295	paclitaxel	100nM	24h	CNS
SF-539_paclitaxel_100nM_24h	SF-539	paclitaxel	100nM	24h	CNS
SK-MEL-2_paclitaxel_100nM_24h	SK-MEL-2	paclitaxel	100nM	24h	Melanoma
SK-MEL-28_paclitaxel_100nM_24h	SK-MEL-28	paclitaxel	100nM	24h	Melanoma
SK-MEL-5_paclitaxel_100nM_24h	SK-MEL-5	paclitaxel	100nM	24h	Melanoma
SK-OV-3_paclitaxel_100nM_24h	SK-OV-3	paclitaxel	100nM	24h	Ovarian
SN12C_paclitaxel_100nM_24h	SN12C	paclitaxel	100nM	24h	Renal
SNB-19_paclitaxel_100nM_24h	SNB-19	paclitaxel	100nM	24h	CNS
SNB-75_paclitaxel_100nM_24h	SNB-75	paclitaxel	100nM	24h	CNS
SR_paclitaxel_100nM_24h	SR	paclitaxel	100nM	24h	Leukemia
SW-620_paclitaxel_100nM_24h	SW-620	paclitaxel	100nM	24h	Colon
T-47D_paclitaxel_100nM_24h	T-47D	paclitaxel	100nM	24h	Breast
TK-10_paclitaxel_100nM_24h	TK-10	paclitaxel	100nM	24h	Renal
U251_paclitaxel_100nM_24h	U251	paclitaxel	100nM	24h	CNS
UACC-257_paclitaxel_100nM_24h	UACC-257	paclitaxel	100nM	24h	Melanoma
UACC-62_paclitaxel_100nM_24h	UACC-62	paclitaxel	100nM	24h	Melanoma
UO-31_paclitaxel_100nM_24h	UO-31	paclitaxel	100nM	24h	Renal
786-0_sirolimus_100nM_24h	786-0	sirolimus	100nM	24h	Renal
A498_sirolimus_100nM_24h	A498	sirolimus	100nM	24h	Renal
A549_sirolimus_100nM_24h	A549	sirolimus	100nM	24h	Lung
ACHN_sirolimus_100nM_24h	ACHN	sirolimus	100nM	24h	Renal
BT-549_sirolimus_100nM_24h	BT-549	sirolimus	100nM	24h	Breast
CAKI-1_sirolimus_100nM_24h	CAKI-1	sirolimus	100nM	24h	Renal
CCRF-CEM_sirolimus_100nM_24h	CCRF-CEM	sirolimus	100nM	24h	Leukemia
COLO-205_sirolimus_100nM_24h	COLO-205	sirolimus	100nM	24h	Colon
DU-145_sirolimus_100nM_24h	DU-145	sirolimus	100nM	24h	Prostate
EKVX_sirolimus_100nM_24h	EKVX	sirolimus	100nM	24h	Lung
HCC-2998_sirolimus_100nM_24h	HCC-2998	sirolimus	100nM	24h	Colon
HCT-116_sirolimus_100nM_24h	HCT-116	sirolimus	100nM	24h	Colon
HCT-15_sirolimus_100nM_24h	HCT-15	sirolimus	100nM	24h	Colon
HL-60_sirolimus_100nM_24h	HL-60	sirolimus	100nM	24h	Leukemia
HOP-62_sirolimus_100nM_24h	HOP-62	sirolimus	100nM	24h	Lung
HOP-92_sirolimus_100nM_24h	HOP-92	sirolimus	100nM	24h	Lung
HT29_sirolimus_100nM_24h	HT29	sirolimus	100nM	24h	Colon
IGR-OV1_sirolimus_100nM_24h	IGR-OV1	sirolimus	100nM	24h	Ovarian
K-562_sirolimus_100nM_24h	K-562	sirolimus	100nM	24h	Leukemia
KM12_sirolimus_100nM_24h	KM12	sirolimus	100nM	24h	Colon
LOX_sirolimus_100nM_24h	LOX	sirolimus	100nM	24h	Melanoma
M14_sirolimus_100nM_24h	M14	sirolimus	100nM	24h	Melanoma
MALME-3M_sirolimus_100nM_24h	MALME-3M	sirolimus	100nM	24h	Melanoma
MCF7_sirolimus_100nM_24h	MCF7	sirolimus	100nM	24h	Breast
MDA-MB-231_sirolimus_100nM_24h	MDA-MB-231	sirolimus	100nM	24h	Breast
MDA-MB-435_sirolimus_100nM_24h	MDA-MB-435	sirolimus	100nM	24h	Melanoma
MDA-MB-468_sirolimus_100nM_24h	MDA-MB-468	sirolimus	100nM	24h	Breast
MOLT-4_sirolimus_100nM_24h	MOLT-4	sirolimus	100nM	24h	Leukemia
NCI-ADR-RES_sirolimus_100nM_24h	NCI-ADR-RES	sirolimus	100nM	24h	Ovarian
NCI-H226_sirolimus_100nM_24h	NCI-H226	sirolimus	100nM	24h	Lung
NCI-H23_sirolimus_100nM_24h	NCI-H23	sirolimus	100nM	24h	Lung
NCI-H322M_sirolimus_100nM_24h	NCI-H322M	sirolimus	100nM	24h	Lung
NCI-H460_sirolimus_100nM_24h	NCI-H460	sirolimus	100nM	24h	Lung
NCI-H522_sirolimus_100nM_24h	NCI-H522	sirolimus	100nM	24h	Lung
OVCAR-3_sirolimus_100nM_24h	OVCAR-3	sirolimus	100nM	24h	Ovarian
OVCAR-4_sirolimus_100nM_24h	OVCAR-4	sirolimus	100nM	24h	Ovarian
OVCAR-5_sirolimus_100nM_24h	OVCAR-5	sirolimus	100nM	24h	Ovarian
OVCAR-8_sirolimus_100nM_24h	OVCAR-8	sirolimus	100nM	24h	Ovarian
PC-3_sirolimus_100nM_24h	PC-3	sirolimus	100nM	24h	Prostate
RXF-393_sirolimus_100nM_24h	RXF-393	sirolimus	100nM	24h	Renal
SF-268_sirolimus_100nM_24h	SF-268	sirolimus	100nM	24h	CNS
SF-295_sirolimus_100nM_24h	SF-295	sirolimus	100nM	24h	CNS
SF-539_sirolimus_100nM_24h	SF-539	sirolimus	100nM	24h	CNS
SK-MEL-2_sirolimus_100nM_24h	SK-MEL-2	sirolimus	100nM	24h	Melanoma
SK-MEL-5_sirolimus_100nM_24h	SK-MEL-5	sirolimus	100nM	24h	Melanoma
SK-OV-3_sirolimus_100nM_24h	SK-OV-3	sirolimus	100nM	24h	Ovarian
SN12C_sirolimus_100nM_24h	SN12C	sirolimus	100nM	24h	Renal
SNB-19_sirolimus_100nM_24h	SNB-19	sirolimus	100nM	24h	CNS
SNB-75_sirolimus_100nM_24h	SNB-75	sirolimus	100nM	24h	CNS
SW-620_sirolimus_100nM_24h	SW-620	sirolimus	100nM	24h	Colon
T-47D_sirolimus_100nM_24h	T-47D	sirolimus	100nM	24h	Breast
TK-10_sirolimus_100nM_24h	TK-10	sirolimus	100nM	24h	Renal
U251_sirolimus_100nM_24h	U251	sirolimus	100nM	24h	CNS
UACC-257_sirolimus_100nM_24h	UACC-257	sirolimus	100nM	24h	Melanoma
UACC-62_sirolimus_100nM_24h	UACC-62	sirolimus	100nM	24h	Melanoma
UO-31_sirolimus_100nM_24h	UO-31	sirolimus	100nM	24h	Renal
786-0_sorafenib_10000nM_24h	786-0	sorafenib	10000nM	24h	Renal
A498_sorafenib_10000nM_24h	A498	sorafenib	10000nM	24h	Renal
A549_sorafenib_10000nM_24h	A549	sorafenib	10000nM	24h	Lung
ACHN_sorafenib_10000nM_24h	ACHN	sorafenib	10000nM	24h	Renal
BT-549_sorafenib_10000nM_24h	BT-549	sorafenib	10000nM	24h	Breast
CAKI-1_sorafenib_10000nM_24h	CAKI-1	sorafenib	10000nM	24h	Renal
CCRF-CEM_sorafenib_10000nM_24h	CCRF-CEM	sorafenib	10000nM	24h	Leukemia
COLO-205_sorafenib_10000nM_24h	COLO-205	sorafenib	10000nM	24h	Colon
DU-145_sorafenib_10000nM_24h	DU-145	sorafenib	10000nM	24h	Prostate
EKVX_sorafenib_10000nM_24h	EKVX	sorafenib	10000nM	24h	Lung
HCC-2998_sorafenib_10000nM_24h	HCC-2998	sorafenib	10000nM	24h	Colon
HCT-116_sorafenib_10000nM_24h	HCT-116	sorafenib	10000nM	24h	Colon
HCT-15_sorafenib_10000nM_24h	HCT-15	sorafenib	10000nM	24h	Colon
HOP-62_sorafenib_10000nM_24h	HOP-62	sorafenib	10000nM	24h	Lung
HOP-92_sorafenib_10000nM_24h	HOP-92	sorafenib	10000nM	24h	Lung
HS-578T_sorafenib_10000nM_24h	HS-578T	sorafenib	10000nM	24h	Breast
HT29_sorafenib_10000nM_24h	HT29	sorafenib	10000nM	24h	Colon
IGR-OV1_sorafenib_10000nM_24h	IGR-OV1	sorafenib	10000nM	24h	Ovarian
K-562_sorafenib_10000nM_24h	K-562	sorafenib	10000nM	24h	Leukemia
KM12_sorafenib_10000nM_24h	KM12	sorafenib	10000nM	24h	Colon
LOX_sorafenib_10000nM_24h	LOX	sorafenib	10000nM	24h	Melanoma
MALME-3M_sorafenib_10000nM_24h	MALME-3M	sorafenib	10000nM	24h	Melanoma
MCF7_sorafenib_10000nM_24h	MCF7	sorafenib	10000nM	24h	Breast
MDA-MB-231_sorafenib_10000nM_24h	MDA-MB-231	sorafenib	10000nM	24h	Breast
